agent,lineage,horizon_50,median_tokens_per_task,tokens_per_minute,release_date
Claude 3 Opus (Inspect),anthropic_react,3.9522619883717782,10008.0,2532.220796456618,2024-03-04
Claude 3.5 Sonnet (Old) (Inspect),anthropic_react,11.395376604861136,8489.0,744.9512459622168,2024-06-20
Claude 3.5 Sonnet (New) (Inspect),anthropic_react,20.52287176519794,7544.0,367.58988148982564,2024-10-22
Claude 3.7 Sonnet (Inspect),anthropic_react,60.388936451067146,23402.0,387.5213139241577,2025-02-24
Claude 4 Opus (Inspect),anthropic_react,100.36612316105756,27271.5,271.7201695261001,2025-05-22
Claude 4.1 Opus (Inspect),anthropic_react,100.47200385082274,19244.0,191.53594297345563,2025-08-05
Claude Opus 4.5 (Inspect),anthropic_react,292.9945929060779,13310.0,45.42745948989796,2025-11-24
Claude Opus 4.6 (Inspect),anthropic_react,718.8068108748706,19975.0,27.789107862915387,2026-02-05
Gemini 3 Pro,google,224.32588297718405,17671.5,78.7760189126163,2025-11-18
GPT-4 1106 (Inspect),openai_nonreasoning_react,4.044958959903116,4639.0,1146.8595963483178,2023-11-06
GPT-4 Turbo (Inspect),openai_nonreasoning_react,3.7327869534415643,5609.5,1502.76457509265,2024-04-09
GPT-4o (Inspect),openai_nonreasoning_react,6.991195344842732,6018.0,860.7970029673625,2024-05-13
o1 (Inspect),openai_reasoning_triframe,38.83158813634082,93374.0,2404.5887505851265,2024-12-05
o3 (Inspect),openai_reasoning_triframe,119.73263347570581,150184.5,1254.3322203839523,2025-04-16
GPT-5 (Inspect),openai_reasoning_triframe,203.01257671665195,63130.5,310.96841890791967,2025-08-07
GPT-5.1-Codex-Max (Inspect),openai_reasoning_triframe,223.714690388267,181916.0,813.1607257631429,2025-11-19
GPT-5.2,openai_reasoning_triframe,352.24930064806625,206340.0,585.7783099082861,2025-12-11
